X, sigma
.068,.046
.617,.222
.07,.047
.54,.237
.507,.058
97.3147,117.164
.522,.048
141.6735,115.038
.488,.194
.711,.205
.101,.045
.089,.051
.422,.178
54.0848,33.402
.495,.045
.531,.047
.249,.034
.164,.019
.101,.045
.152,.024
.039,.052
.068,.046
.54,.237
89.14790000000001,48.203
14.9728,36.417
.07,.047
.717,.226
.483,.049
.171,.022
.512,.042
.055,.049
.17,.022
.502,.053
150.1284,49.136
64.5288,36.37
.308,.037
140.0032,146.221
.479,.187
154.2284,117.486
.164,.019
107.1296,127.084
.347,.166
.485,.048
36.916,27.684
3.6364,20.485
.479,.187
.168,.02
.488,.194
1.9305,27.132
.323,.145
2.5098,26.898
.171,.021
.423,.198
76.4374,60.799
36.9936,28.019
58.9766,58.852
.494,.046
.388,.054
185.8348,77.161
5.5805,20.454
146.5227,49.681
.165,.02
.054,.051
.478,.049
.165,.025
202.5769,134.68
55.2324,99.761
.167,.02
.163,.021
.063,.05
.081,.059
187.8086,62.396
.717,.226
77.74339999999999,83.438
.096,.032
.049,.033
2.0413,27.341
.304,.049
.581,.052
.314,.043
.002,.023
96.08199999999999,91.52
59.3251,82.34699999999999
.711,.205
.055,.049
.167,.019
.039,.052
25.6443,141.976
.363,.064
106.1626,73.28400000000001
.063,.05
66.56319999999999,42.251
.161,.021
.165,.019
97.50539999999999,71.899
102.7859,128.53
.054,.051
40.3344,26.535
.554,.046
.089,.051
.496,.053
.422,.178
.423,.198
88.9058,55.164
.504,.055
.617,.222
.06,.172
.127,.118
.037,.015
.5206,.481
.037,.009
.08,.076
.5107,.0262
.913,.057
.9601,.072
.037,.165
.233,.152
.028,.198
1.44,.93
.069,.064
.161,.138
.035,.159
.9166,.057
.2414,.164
.172,.124
.2348,.382
.122,.091
.038,.116
.073,.108
.005,.062
.011,.117
.051,.065
.2597,.253
.009,.103
.011,.061
.018,.029
.5042,.265
.043,.09
.0194,.057
.798,.072
.007,.1
.013,.041
.032,.019
.0365,.188
.029,.038
.043,.09
.031,.038
.2701,.154
.0082,.055
.069,.064
.1585,.11
.026,.01
.7,.23
.026,.062
.032,.051
.137,.141
.1283,.09
.6397,.27
.034,.05
.018,.05
.176,.15
.051,.116
.024,.013
.057,.13
.054,.096
.009,.032
.114,.087
.009,.072
.61,.24
.0367,.083
.1365,.146
.3075,.347
1.88,.89
1.44,.8100000000000001
.9068000000000001,.072
.041,.099
.081,.153
.132,.113
.1875,.402
.2187,.192
.149,.111
.056,.073
.022,.034
.035,.015
.051,.125
.042,.057
.2832,.162
.094,.103
.142,.166
.2189,.204
.054,.096
.045,.07
.077,.09
.057,.13
.017,.044
.145,.135
.4126,.215
.0616,.182
.018,.029
.041,.099
.011,.061
.056,.197
.051,.125
.013,.041
.08,.14
.0192,.16
.0276,.063
.072,.074
.2931,.165
.0495,.184
.9699,.065
.025,.032
.053,.052
.022,.089
.004,.11
.7,.22
.007,.06
.013,.045
.4236,.217
.03,.201
.273,.264
.061,.097
.133,.149
.011,.122
.1342,.105
.906,.096
1.6,.72
.1289,.275
.61,.24
.006,.067
.094,.088
.096,.109
.2104,.386
.136,.14
.051,.05
.016,.216
.97,.065
.3125,.213
.032,.051
.12,.213
.2401,.206
.0234,.202
.048,.107
.129,.071
.612,.283
.541,.272
.652,.318
1.019,.503
.93,.442
1.106,.482
.578,.318
.489,.268
.467,.279
.411,.145
.091,.069
1.259,.405
.594,.181
.078,.067
1.408,.331
.101,.06
.726,.442
.042,.065
.902,.183
.263,.227
32.245,17.815
3.095,.8100000000000001
.097,.032
1.336,.192
.044,.085
.468,.296
.6840000000000001,.266
.145,.057
1.259,.405
.127,.041
.512,.096
.007,.129
.215,.086
.137,.12
.146,.039
.712,.141
.179,.128
.145,.057
.055,.03
.075,.049
3.217,.804
.077,.103
.156,.07
.192,.107
2.812,1.316
.009,.029
.179,.128
.494,1.297
1.317,.405
.183,.108
.131,.115
5.76,4.05
.157,.061
.038,.05
4.28,1.45
7.23,3.52
.222,.059
.166,.145
5.64,1.95
6.65,4.53
3.32,2.99
6.64,5.08
6.04,2.75
3.22,1.67
.163,.055
5.7,3.51
.824,.152
.214,.052
.006,.043
7.18,2.61
11.35,8.630000000000001
.5649999999999999,.109
8.029999999999999,3.303
.156,.031
1.16,1.24
12.78,4.99
.263,.1
7.94,5.38
5.03,3.42
3.78,1.75
.01,.153
7.58,3.78
7,2.98
2.39,2
4.13,1.34
10.95,4.34
.116,.023
9.380000000000001,4.37
4.1,1.86
.671,.055
.831,.069
.805,.083
3.48,5.07
.172,.044
4.95,2.09
3.46,2.08
.622,.067
2.55,1.08
2.72,4.68
.131,.105
.388,.138
.005,.039
.007,.129
.067,.096
.145,.057
.137,.12
.325,.046
.14,.044
.006,.043
.149,.035
.061,.101
1.052,.381
3.74,1.22
.233,.598
1.88,.67
.019,.012
.003,.005
.351,.5570000000000001
.038,.167
1.074,1.32
.034,.025
.31,.105
.017,.02
26.59,6.4382567
16.405,3.6134361
91.82899999999999,20.406444
.086,.02828947
.006,.00171429
.003,.00096154
.002,.00058997
.0496,.01540373
.173,.0502907
1.704,.45818565
.117,.04411649
.474,.12745305
3.624,.97445118
7.545,2.0287622
.975,.26216609
.8,.06
1.85,.49
7.96,53.18
1.45,.65
.93,.05
1.42,.21
.83,.04
.84,.08
3.2,3.35
.93,.05
1.41,.13
1.57,.72
2.3,.38
.92,.04
1.05,.09
4.52,.7
.144,.259183673469388
.079,.012
.094,.023
.208,.035
.072,.009
.028,.008
.254,.145918367346939
.136,.034
.101,.028
.07,.012
.067,.0012
.189,.0048
.058,.008
.032,.01
.057,.011
.045,.034
.06,.01
.105,.027
.076,.01
.467,.222448979591837
.041,.009
.435,.211224489795918
.418,.076
.333,.101530612244898
.086,.024
.084,.04
.082,.017
.215,.117
.084,.034
.081,.015
.117,.025
.072,.045
.112,.054
1586,320
2465,738
1902,546
.135,.092
.217,.189
2333,1000
1228,299
1.9884,.4258
4.0966,2.3567
.004,.001
.004,.001
.006,.001
.006,.001
.004,.001
.004,.001
.001,.0001
.0002,.0001
.7097,.2749
.01,.014
.012,.013
4.9649,2.0914
.026,.013
.026,.012
.9233,.3505
.006,.012
.6278,.2505
.3833,.1785
.021,.011
.005,.012
.062,.065
.056,.021
2.797,1.3113
.066,.022
.067,.058
.023,.028
.02,.028
.021,.012
.0064,.002
.01,.047
2.1679,1.3839
.032,.02
.03,.016
.016,.048
.063,.035
.3264,.1704
.066,.038
.058,.029
.0138,.004
.031,.016
.0078,.002
.031,.02
.2955,.1959
.0085,.002
.051,.018
.524,.076
.016,.01
25.0209,5.9217
.473,.063
10.3401,3.5911
.102,.013
.019,.009
.097,.012
.025,.008
.504,.067
.0147,.2361
.1353,.1122
.033,.02
.537,.118
.515,.12
.064,.026
.11,.028
.742,2.191
.6381,.6156
.3363,.4172
.8929,.3508
1.1092,.2516
.163,.035
.167,.038
.148,.038
.09,.015
.014,.001
.082,.007
.002,.002
.016,.002
.013,.001
.115,.104
.065,.009
.09,.015
.13,.116
.015,.002
.011,.001
.001,.0001
.07,.008
.121,.116
.002,.002
.167,.089
.001,.003
.066,.009
.171,.094
.071,.008
.012,.001
.002,.002
.001,.002
.012,.001
.129,.106
.016,.002
.092,.012
.012,.001
.074,.008
.003,.002
.005,.053
.041,.09
.467,.106
.000612,.00108
.0191,.106
.041,.09
.047,.007
.00442,.00385
5.027,.209
.000706,.00105
.055,.01
4.905,.276
.054,.056
.619,.266
.048,.007
.0044,.0022
.0152,.0702
.00191,.0013
.027,.046
.467,.106
.006,.016
.000958,.000928
.05,.006
.398,.236
.006,.016
.00102,.00286
.005,.053
.054,.056
5.614,2.352
.323,.086
.468,.211
.5,.209
.279,.087
.345,.122
.473,.213
.497,.21
.428,.178
.327,.161
.287,.129
.488,.197
.498,.21
.553,.211
.487,.205
.5620000000000001,.206
.6,.272
.499,.211
.491,.205
.497,.21
.487,.192
.488,.205
.5,.178
.171,.198
.215,.243
.126,.215
.017,.204
.012,.197
.072,.212
.097,.223
.024,.211
.014,.187
.195,.216
.227,.204
.262,.178
9.19,3.3418182
11.07,2.5684455
1.88,2.1609195
6.95,2.3720137
.01,.00049
.01,.00049
.01,.00049
.01,.00049
.087,.059
.066,.068
.167,.067
.123,.051
.1,.05
.187,.068
.048,.08
.063,.071
.135,.076
.024,.07
.056,.035
.035,.053
.365,.111
.14,.084
.026,.073
.345,.104
.914,.253
1.682,1.235
.172,.145
2.676,1.982
4.434,2.126
.914,.53
2469,1322
.527,.176
2.983,2.238
2863,1275
4.021,1.823
.729,.421
2982,1129
1.04,.385
2.149,.657
1160,374.4
1.244,.518
2530,1213
.731,.447
2.484,1.566
.787,.221
.764,.172
.612,.203
1.095,.425
.541,.623
1.226,.471
2.603,1.302
.5580000000000001,.178
1.457,.482
1.829,.458
.749,.573
2.166,1.515
.514,1.06
.213,.262
1.345,.554
.637,.503
.679,1.179
.239,.267
.179,.114
2.25,1.066
.194,.116
.584,.534
1.296,.523
2.379,1.174
.0006,.0072
.0042,.0095
.0029,.0057
.0037,.012
.0016,.006
.0245,.0133
.0055,.0086
.009,.0149
.0432,.0202
.009,.0092
.0072,.007
.007,.0119
.0012,.00635
.003,.0058
.0121,.0179
.0095,.0123
.0011,.0124
.0001,.0056
.0061,.0149
.0074,.0115
.0064,.107
.0014,.0129
.0149,.012
.004,.0071
.1009,.028
.0264,.0399
.0041,.0395
.0302,.0429
.0201,.0291
.0133,.0279
.0203,.05
.0038,.0232
.1258,.0403
.0072,.0266
.62,.632
.199,.065
.0456,.0416
.0935,.0734
.118,.036
.1102,.0559
.4549,.3327
.097,.0333
6.244,2.793
7.466,2.25
.144,.0336
.0103,.0036
.444,.3326
.0122,.0283
6.265,2.09
7.401,3.06
4.343,1.875
5.16,2.291
.0248,.0055
.0259,.0285
.138,.0405
.1121,.0321
.1624,.0421
.0092,.0393
.5304,.3427
3.128,1.647
.0633,.0267
6.673,3.067
.0884,.0307
.1601,.0391
.0281,.0246
.029,.0058
.0179,.025
.1372,.0404
.0215,.0166
.2489,.0547
.0203,.0051
.1161,.0358
8.712999999999999,2.814
.0069,.0396
.1664,.0366
.0802,.0438
.0107,.0041
.0732,.0421
.0285,.0072
.0096,.0394
.0245,.0071
.248,.0547
.1482,.0372
.0064,.0033
.0234,.0287
.116,.2741
4.206,2.026
.0405,.026
10.02,2.772
.0049,.0031
.2443,.0542
.5792,.2697
.32877,.3065
.0104,.0162
.0786,.0432
.0038,.0164
.0108,.004
.0246,.0068
5.135,2.017
.0158,.0043
.154,.121
.0405,.0385
.079,.085
.1847,.0452
.1152,.0272
.21,.232
.1256,.0418
.0601,.0259
.1126,.0472
.036,.056
.1974,.0503
.0501,.0256
.002,.071
.038,.071
.2213,.0517
.0608,.0397
.101,.111
.07,.096
.1087,.0516
.1175,.0523
.0714,.0357
.152,.0348
.0302,.0223
.0309,.0369
.0996,.047
.1707,.0343
.247,.214
.05,.115
.30703,.0431
.0856,.0489
.0713,.0333
.0623,.0451
.0235,.0315
.0161,.0276
.0613,.0449
.0518,.0416
.0224,.0264
.1068,.0482
.0263,.0306
.0179,.0258
.0858,.0439
.0495,.0277
.1299,.0475
.0684,.0286
.1024,.034
.0994,.0346
.0813,.0359
.0767,.0487
.0559,.0289
.0633,.0471
.0681,.0327
.1042,.0461
.0321,.0317
.0459,.0484
.0255,.0378
.0048,.0391
.0091,.0383
.1058,.0465
.07483,.0488
.0461,.0485
.0593,.0492
.0677,.035
.0576,.0491
.0576,.0308
.086,.0311
.0531,.0418
.0405,.025
.0407,.0297
.0777,.0371
.0199,.0311
.384,.17
.342,.131
.319,.117
.183,.099
.091,.039
.146,.076
.154,.081
.287,.102
.273,.093
.345,.149
.095,.031
.411,.187
.329,.137
.171,.091
.114,.049
.106,.046
.371,.204
.321,.172
.299,.168
.058,.131
.275,.139
.755,.302
.083,.193
.87,.373
.645,.244
.404,.221
.246,.145
.071,.1632
.531,.195
.226,.112
.096,.224
.35,.185
.534,.016
.108,.013
.033,.021
.451,.009
.236,.185
.547,.212
.701,.185
.853,.191
.165,.19
.523,.213
.187,.19
1.141,.18
.845,.175
.549,.21
.266,.191
.592,.214
.46,.215
.438,.205
.9340000000000001,.18
.397,.19
.735,.196
1.01,.182
.777,.204
.471,.2
.429,.196
.285,.185
.479,.209
.283,.192
.276,.194
.39,.198
.918,.178
.764,.198
.245,.189
.792,.195
.284,.194
1.01,.189
.286,.187
.28,.205
.479,.208
.267,.195
2.646,.611
.703,.304
.084,.016
.257,.074
.061,.019
.072,.019
.257,.074
.072,.019
.084,.019
.244,.074
.239,.057
.238,.058
.061,.019
.239,.057
.238,.058
.084,.019
.244,.074
.084,.016
.215,.059
.287,.064
.287,.064
.731,.168
.731,.168
.215,.059
1.94,1.9
1.18,1.9
.32,.9
.95,1.5
.293,.084
.293,.084
.339,.079
.016,.004
.016,.004
.339,.079
.014,.004
.014,.004
.13,1
.22,36.1
.28,2.4
.04,.3
.17,.6
.02,.01
.39,1.8
.11,1.4
.0519,.0198
1.61,.96
.008,.085
.103,.051
.00968,.00449
.058,.096
.006,.115
.0215,.00976
.084,.104
.033,.0146
.104,.056
.0514,.0204
1.661,.434
.0332,.0148
.0224,.0106
.00944,.00163
1.776,.28
1.553,.22
1.352,.491
3.146,.274
2.189,.201
2.87,.663
6.001,2.447
.707,.444
.0000166,.0000256
3.04000000000e-06,4.98000000000e-06
2.85000000000e-06,7.96000000000e-06
.03,.008
.08,.023
.105,.036
.244,.033
4.844,16.86
1.157,.439
.277,.6899999999999999
.173,.023
23.18,10.82
5.54000000000e-06,.0000281
.214,.241
5.041,2.117
.024,.008
1.893,.664
.066,.038
.095,.061
.0343,.0409
.357,.063
.092,.047
.254,.044
.202,.062
.105,.068
.056,.069
.19,.065
1.797,.597
.035,.067
.00652,.00298
.143,.043
.038,.029
.09,.069
.029,.049
.133,.0429
.114,.05
16.584,7.272
.044,.04
.182,.058
.05,.065
.101,.0701
.084,.05
.058,.068
5.503,3.926
.093,.063
.317,.085
23.519,4.953
.252,.067
.01,.106
.031,.069
40.053,6.958
5.064,8.353999999999999
.116,.036
3.321,3.266
.125,.072
26.46,12.36
.217,.107
.491,.097
10.188,7.064
.028,.04
7.763,7.298
.134,.062
.005,.034
10.97,4.456
.162,.041
.015,.026
.11,.036
.338,.067
.033,.051
.176,.065
.174,.057
.384,.034
24.168,6.956
29.165,6.029
.09,.066
.21,.026
.496,.094
.097,.063
.17,.075
25.286,4.659
.031,.03
.076,.037
.119,.062
.06,.056
28.324,6.571
1.246,.407
.139,.066
4.664,4.59
.242,2.899
.007,.086
.056,.044
.143,3.743
5.842,3.473
.169,.068
.179,.062
.404,.076
.068,.045
.53,.116
3.328,3.909
.176,.065
.00311,.00125
.004,.034
.175,.05
.193,.026
.07,.051
.008,.051
.211,.044
.189,.109
.364,.033
.093,.038
9.645,4.317
.086,.044
.028,.035
.14,.06
2.818,4.641
5.739,7.056
8.359999999999999,.74
.254,.109
6.251,.62
.064,.087
2.133,.653
.101,.075
.159,.1
.0628,.0538
.007,.092
.074,.052
1.64,.581
.0832,.0661
.064,.071
.0369,.0186
.00249,.00114
.008,.087
.079,.053
.237,.149
.166,.091
.189,.134
.038,.086
.129,.054
.005,.094
1.539,.573
.149,.091
.121,.081
.516,.049
.157,.112
.023,.091
3.437,.733
.654,.361
.125,.908
.232,.096
.006,.094
.15,.152
.064,.092
.223,.091
.06,.056
.321,.137
0,.089
.111,.118
.135,.0542
.082,.123
.758,.119
1.683,.153
.045,.081
.161,.132
1.487,.5600000000000001
.089,.082
.158,.15
.086,.082
.08,.088
.067,.076
.214,.132
.309,.248
.61,.319
.152,.08
1.879,.679
.057,.108
.327,.103
.04,.0269
.183,.077
.038,.0826
.235,.129
.151,.135
.018,.083
.021,.09
1.953,.675
.053,.112
.0774,.036
.316,.143
.2,.157
1.372,.536
.042,.075
1.629,.593
.00382,.00141
.012,.095
.016,.086
.041,.094
.0606,.0409
.188,.093
.0179,.0326
.045,.086
.181,.154
.084,.12
.366,.146
.184,.084
.221,.138
.289,.132
.111,.0434
.185,.092
.178,.0827
.144,.091
.262,.13
.115,.059
.143,.086
.00128,.00102
.138,.114
.225,.112
.186,.162
.162,.099
.002,.077
.517,.059
.00127,.00105
.236,.107
.00395,.00149
.082,.181
.053,.102
.138,.103
.221,.107
.029,.101
.341,.091
.211,.097
.317,.197
.704,.891
.249,.11
.208,.104
.134,.178
.382,.221
.086,.11
.145,.098
.201,.1
.059,.187
.183,.106
.009,.101
.173,.091
.005,.1
.224,.12
.26,.102
.012,.097
.066,.103
.057,.062
.343,.173
.604,.093
.131,.108
2.177,.22
1.573,.436
.181,.108
.24,.118
.123,.104
.3054,.099
.078,.106
.121,.091
.00255,.00117
.038,.1
.138,.103
.296,.161
.218,.101
.051,.181
.135,.177
1.532,.584
.031,.103
.13,.116
.143,.061
.152,.062
.032,.409
1.664,.413
.266,.34
.454,.231
.455,.345
.626,.371
1.403,.447
.121,.526
1.573,.438
.269,.654
.19,.371
1.073,.673
.116,.379
.339,.291
1.516,.681
.211,.341
.37,.419
1.811,.617
1.251,.694
.229,.328
1.232,.483
1.532,.606
.22,.269
.17,.306
.705,.12
.37,.056
.075,.041
.12,.032
.075,.024
.13,.06
.076,.026
.08,.025
1.486,1.528
2.303,.965
.1,.054
1.85,1.398
2.008,.988
.069,.025
1.899,.214
.5610000000000001,.078
.195,.055
.84,.354
.186,.052
.183,.052
.138,.042
.855,.405
.895,.53
.82,.417
.139,.039
.139,.039
.298,.213
.143,.139
.523,.237
.0179,.00817
.152,.044
.139,.042
.119,.123
.00751,.00745
.126,.041
.076,.126
.0225,.00534
.14,.042
.406,30.34
.36,.201
.137,.045
.436,.215
.125,.041
.151,.046
.152,.044
.366,.201
.152,.046
.136,.045
.273,.146
.598,.332
1.3016,.501
1.011,.396
.706,.494
.125,.173
.291,.166
.153,.202
.00615,.00509
.665,.522
.355,.12
.8080000000000001,.514
.768,.454
.0847,.0321
.396,.112
.337,.095
1.846,1.017
.498,.176
.78,.523
.242,.338
.547,.803
.779,.447
.665,.49
.000326,.00201
1.0412,.5141
1.162,1.175
.0608,.0407
.46,.165
.0594,.0274
.706,.233
.73,.523
.598,.252
.433,.116
1.592,.9389999999999999
.0584,.0296
.0123,.00472
.73,.326
14.872,6.019
.78,.433
14.32,6.081
.00311,.00254
.8080000000000001,.548
.000418,.00642
.094,.228
.005,.001
.00203,.00255
.0485,.0219
.00634,.00533
.0197,.011
.0581,.0219
.0274,.0158
.0272,.011
.00511,.00577
.0626,.0231
.0341,.0165
.0536,.0234
.001,.002
.000812,.00248
.004,.003
.93,.15
.00181,.00344
.696,.65
.696,.574
.102,.0342
1.03,.21
.95,.22
.000491,.00194
.679,.307
.0664,.0284
.000131,.00435
.855,.359
.12,.27
.22,.18
1.06,.23
.00187,.00358
.036,.007
.026,.009
.86,.16
.03,.18
.915,.423
.029,.008
.0735,.0307
.906,.399
.679,.357
.072,.0432
.01,.0149
.033,.01
.024,.008
.9350000000000001,.541
.24,.3
.336,.194
.12,.27
.492,1.285
.749,.463
1.03,.21
.34,.24
.389,.242
.371,.266
.359,.254
3.5196,.7916
.25,.33
.311,.119
.163,.274
.356,.261
.443,.19
.174,.267
4.7903,2.4252
.784,.437
.2,.14
1.232,1.272
.9419999999999999,1.231
.11,.31
.878,.484
.08,.14
.21,.45
.364,.233
.106,.276
3.129,1.824
.751,.342
.8120000000000001,.368
.09,.0485
1.166,.57
.0726,.0434
.119,.0605
.018,.0399
.804,.411
.6929999999999999,.368
.0892,.048
.00427,.0276
.0294,.0339
.117,.068
.055,.08
.078,.019
.188,.059
.882,.216
.004,.002
.036,.006
.112,.016
.47,.54
.055,.018
.142,.037
.135,.083
.176,.059
.003,.013
.044,.007
.024,.006
.04,.008
.024,.007
.37,.15
.066,.024
.37,.14
.077,.051
.05,.009
.4,.14
.101,.022
.48,.19
.106,.017
.041,.009
.34,.13
.68,.21
.386,.176
.384,.087
.001,.015
.71,.21
.53,.19
.027,.008
.045,.072
.053,.054
.062,.035
.139,.074
.114,.058
.143,.056
.012,.038
.011,.023
.048,.034
.003,.002
.046,.022
.05,.043
.203,.088
.021,.013
.001,.004
.094,.048
.235,.098
.028,.021
.043,.106
.005,.006
.024,.011
.002,.009
.06,.053
.413,.09
.028,.008
.276,.114
.018,.004
.473,.097
.027,.135
.038,.005
.275,.114
.055,.021
.476,.097
.036,.027
.037,.027
.048,.063
.046,.063
15.497,19.873
15.931,19.987
10.645,23.963
2.188,1.814
2.199,1.82
10.469,24.772
.045,.587
.146,.763
.005,.132
.098,.068
.006,.009
.062,.07
.112,.106
.305,.185
.004,.025
.005,.006
.05,.029
.172,.088
.003,.042
.248,.146
.832,.323
.949,.349
.78,.467
.778,.325
.511,.08
.751,.1
.533,.09
.018,.005
.00001,.006
.002,.006
.017,.005
.061,.071
.01,.011
.445,.108
.031,.021
.047,.012
.053,.038
.098,.074
.077,.021
.018,.013
.287,.21
.179,.123
.022,.024
.078,.018
.119,.13
.221,.074
.037,.012
.0863,.022
.282,.076
1.948,.39
.075,.02
.459,.132
.518,.137
.436,.121
.325,.059
.006,.018
.223,.116
.032,.103
.009,.015
.049,.088
.574,.22
.007,.014
.132,.102
.065,.098
.029,.016
.039,.02
.121,.089
.04,.08
.027,.012
.003,.018
.011,.017
.154,.068
.075,.03
.016,.101
.165,.095
.051,.161
.615,.246
.013,.005
.009,.028
.084,.026
.365,.022
.025,.014
.441,.012
.179,.017
.426,.018
.107,.027
.072,.014
.212,.015
.336,.028
.026,.015
.098,.021
.055,.03
.377,.033
.084,.026
.072,.024
.365,.062
.336,.073
.451,.055
.287,.154
.134,.011
.074,.014
.049,.015
.346,.023
.076,.024
.063,.021
.101,.018
.414,.021
.049,.014
.037,.015
.024,.011
.051,.016
.343,.026
.319,.022
.315,.031
.069,.016
.028,.01
.071,.023
.043,.011
.024,.014
.031,.015
.037,.014
.073,.015
.062,.012
.334,.021
.087,.026
.026,.012
.321,.032
.073,.024
.026,.012
.329,.022
.059,.011
.016,.016
.069,.036
.063,.034
.324,.023
.03,.011
.019,.011
.071,.016
.346,.023
.094,.046
.343,.026
.068,.019
.051,.012
.052,.016
.553,.087
.38,.217
.453,.212
.492,.092
1.856,.608
1.821,.219
1.913,.241
2.648,.338
2.367,.862
3.362,1.038
1.578,.477
1.341,.145
2.736,.747
2.421,.29
2.052,.6889999999999999
1.281,.133
.188,.059
.187,.056
.21,.059
.235,.063
.04,.024
.046,.031
.038,.028
.054,.023
.047,.024
.047,.02
.119,.069
.068,.039
.04,.017
.001,.028
.039,.021
.086,.027
.05,.038
.036,.023
.048,.029
.036,.019
.002,.036
.608,.042
.095,.016
.19,.016
.092,.013
.324,.044
.672,.043
.088,.032
.221,.016
.511,.044
.201,.015
.501,.169
.544,.043
.31,.053
.285,.056
.52,.144
.53,.164
.234,.079
.4,.06
.289,.112
.233,.059
.452,.015
.335,.068
.408,.076
.445,.015
.486,.05
.04,.016
.007,.006
.008,.006
.01,.008
.017,.014
.056,.022
.047,.019
.007,.006
.009,.012
.01,.008
.084,.017
.081,.021
.094,.025
.832,.115
.101,.025
.058,.009
3.349,1.359
6.315,1.028
3.349,1.359
3.349,1.359
.832,.115
.079,.031
.577,.16
6.315,1.028
.058,.009
.086,.018
.014,.008
.577,.16
.832,.115
6.315,1.028
.069,.016
.083,.017
.072,.02
.577,.16
.064,.017
.066,.018
.104,.027
.058,.009
.014,.008
.014,.008
.087,.05
.092,.059
.08,.025
.203,.038
.212,.038
.078,.025
.049,.055
.065,.053
.046,.009
2.628,1.347
.013,.008
.444,.156
.135,.033
.123,.032
.641,.031
.27,.061
1.503,.552
.537,.064
1.51,.5639999999999999
.624,.027
.642,.027
1.665,.582
1.28,.228
2.378,.658
1.854,.764
.729,.211
2.219,.36
3.48,1.32
3.48,1.6
2.53,.87
1.32,.46
2.53,1.08
1.32,.6
.078,.015
.359,.348
.551,.023
.608,.024
.62,.024
.5610000000000001,.036
.006,.293
.5,.268
.245,.427
.61,.037
.554,.023
.641,.038
.584,.033
.08,.025
.0045,.004
.0007,.018
.0001,.003
.0176,.015
.0129,.016
.004,.005
.899,.51079545
.633,.29579439
.15,.06756757
.2688,.25358491
1.045,.56486486
8.25,1.7895879
1.278,.665625
17.505,3.1483813
2.385,.72492401
4.092,1.3073482
5.617,1.6328488
3.97,1.2563291
11.35,2.3450413
7.31,1.7529976
8.047000000000001,1.7194444
.421,.17113821
.967,.49336735
.797,.32530612
.975,.3362069
.49,.18421053
.903,.40133333
.485,.24619289
.822,.32619048
.517,.29884393
.431,.17663934
.305,.19426752
.657,.30700935
.284,.11050584
.541,.19184397
.209,.1039801
.289,.11747967
.362,.18190955
.43,.23243243
.192,.15609756
.556,.21889764
1.04,.51741294
.258,.12585366
.639,.30428571
.894,.7706896600000001
4.311,2.1447761
.408,.2
1.066,.493
2.294,.991
1.895,.8110000000000001
1.222,.466
.437,.213
.164,.064
.445,.429
.207,.098
.462,.193
.344,.162
.047,.033
2.357,1.026
.204,.617
.491,1.276
2.514,1.069
.455,.837
.365,.538
.026,.147
.681,.248
1.79,.67
1.77,.68
1.67,.6
.77,.32
.88,.39
.92,.37
1.11,.39
1.07,.4
.83,.33
1.41,.54
1.42,.54
1.13,.47
.023,.011
.026,.017
.023,.011
.2308,.16
.2428,.14
.283,.132
.299,.106
.1666,.872
.306,.155
.353,.144
.262,.104
.2037,.09
.251,.126
.178,.062
.215,.103
.231,.107
.174,.068
.172,.058
.241,.095
.1972,.089
.2037,.09
.1779,.062
.1769,.063
.202,.092
.1784,.066
.3162,.16
.1785,.066
.398,.398
.005,.018
.001,.011
.127,.054
4.106,2.421
.305,.143
.032,.02
.015,.012
3.513,2.138
18.713,6.951
48.637,21.522
.267,.129
37.007,20.8
49.024,10.229
61.49,8.837
18.03,14.565
6.32,2.3494424
3.08,2.0397351
2.52,2.5454545
16.66,7.2121212
10.49,6.1705882
16.71,8.525510199999999
8.09,2.3864307
6.48,2.6234818
10.85,5.5076142
5.23,2.7819149
9.07,5.4311377
15.01,6.9813953
11.51,6.6531792
.108,.03941606
.076,.03897436
.022,.05945946
.055,.03767123
.17,.05862069
.055,.03900709
.383,.12120253
1.349,.39260768
.312,.16082474
1.092,.31836735
.151,.06926606
3.196,1.0146032
4.64,2.6363636
.544,.21167315
.374,.19179487
.544,.24285714
.736,.23291139
1.657,.66015936
4.452,1.7123077
1.24,.49799197
.225,.0974026
4.945,2.1314655
.54,.07040417
.147,.06155779
.025,.00909091
.038,.02261905
.098,.03698113
.035,.03804348
.092,.02920635
.091,.05
.617,.22194245
.095,.02051836
16.051,9.6113772
4.489,1.1907162
4.826,2.805814
.4,.22346369
1.393,.54414063
.579,.2392562
.123,.01583012
.056,.05045045
.037,.01010929
.07,.02723735
.5610000000000001,.14458763
2.603,1.277
2.489,1.288
.98,.427
.831,.409
.087,.092
.137,.068
.2,.474
.183,.062
1.094,.457
.095,.048
.388,.078
.112,.18064516
2.659,.23741071
2.723,.23353345
.872,.21320293
.828,.23193277
.837,.23121547
.764,.12302738
1.662,.18758465
.6919999999999999,.28244898
1.264,.16309677
.9,.21428571
.587,.29796954
2.542,.21707942
.718,.12231687
.787,.21922006
1.602,.18498845
1.94,.22823529
.439,.21004785
.796,.13135314
.892,.21545894
.783,.12878289
2.78,.24069264
.875,.21341463
.827,.22351351
.261,.20551181
.721,.15020833
.004,.00083682
1.832,.24723347
1.383,.17074074
.8090000000000001,.20429293
.798,.21
1.033,.23161435
3.3213,.13446559
1.2142,.1558665
.78,.30708661
.541,.25162791
.004,.00082988
.763,.31399177
.721,.15673913
.717,.1484472
2.594,.24379699
3.3943,.2611
.004,.00084567
1.036,.232287
