X, sigma
.121,.129
.107,.076
.322,.183
.526,.165
0,.104
.504,.309
.13,.092
.29,.108
28.776,1.576
.11,.033
.002,.02
.113,.043
.022,.124
.032,.077
.007,.021
.089,.033
.111,.04
.116,.077
.162,.044
.329,.093
.003,.023
.048,.041
.09,.052
.086,.067
.091,.035
.498,.029
.028,.032
.201,.058
.113,.036
.109,.042
.046,.03
.045,.081
.256,.163
.074,.035
.078,.036
4.209,1.102
.127,.033
.023,.047
.02,.005
.091,.065
.15,.049
.086,.203
.104,.032
.068,.027
.305,.106
2.864,1.425
.352,.172
.637,.124
.632,.117
.37,.104
.392,.099
3.184,1.399
.556,.334
.401,.199
.26,.131
.243,.183
.273,.103
.178,.093
.235,.104
.274,.13
.08,.045
.045,.088
.081,.079
.088,.037
.0152,.079
.035,.041
.083,.071
.413,.091
.014,.09
.263,.095
.041,.032
.03,.076
.003,.062
.331,.089
.064,.044
.171,.04
.053,.035
.058,.104
1.58,.72
.04,.018
.266,.0347
.035,.047
.396,.0372
.84,.51
.067,.024
.002,.011
.00682,.00119
.153,.049
.00792,.00119
.216,.047
.096,.041
.012,.011
.026,.02
.16,.045
.00873,.0012
.022,.034
.004,.003
.001,.004
.67,.54
.305,.0351
.032,.031
.107,.047
1.05,.53
.442,.0372
.00961,.00121
.156,.045
.719,.235
.108,.032
.306,.164
.5570000000000001,.081
.23,.069
3.72,1.647
1.39,.82
.1,.03
.082,.019
.643,.335
5.381,1.946
.119,.06
.023,.032
.139,.054
1.661,.582
1.88,1
1.83,1.01
.769,.341
.0171,.325
.076,.018
.045,.028
.05,.059
.248,.075
.34,.127
.09,.61
.791,.267
.273,.141
1.6,.8100000000000001
.004,.03
.7,.6
.088,.049
0,.027
.553,.084
.005,.054
.0143,1.199
.274,.329
.026,.063
.041,.043
.019,.049
.011,.061
.6899999999999999,.58
.043,.053
.881,.726
.11,.064
.099,.054
.044,.059
1.11,.76
.023,.047
.011,.052
.112,.05
.09,.064
.05,.048
.927,.735
.088,.056
.127,.068
.005,.049
.138,.055
3.603,1.914
.015,.049
.033,.053
.163,.695
.736,1.018
.042,.053
.0603,1.232
.077,.057
.004,.051
1.056,.573
.579,.216
.008,.047
.009,.066
.01,.046
.024,.07
.099,.205
.085,.057
.003,.054
.37,.122
2.037,.899
1.22,.73
.061,.05
.085,.056
.089,.047
.055,.053
.011,.047
.046,.051
.041,.05
1.27,.75
.085,.055
.007,.053
.117,.051
.022,.061
.654,.179
.012,.051
.031,.05
.127,.062
.087,.052
.556,.259
.151,.088
1.73,1.13
.149,.317
.31,.26
.0352,.00938
.9360000000000001,.34
.431,.471
.00999,.0157
.027,.0144
.08,.28
.0143,.0104
.89,.38
.931,.516
.323,.165
24.263,9.944000000000001
.091,.06
.035,.007
18.2,5.8
3.6,8
8.663,4.008
.09,.47
6.281,2.866
.387,.212
.068,.034
274,278
1.6,.77
.09,.038
.023,.006
11989,7204
2.41,1.11
.76,.95
36.253,12.494
1.89,.66
.36,.79
.027,.004
.017,.012
.014,.005
.015,.006
.015,.009
1.262,.569
1.4,.662
2.678,1.042
2.206,.76
.047,.059
.069,.034
.123,.054
3.03,.836
.087,.047
1.74,.8110000000000001
.05,.051
.072,.03
.055,.034
.019,.059
.01,.009
.244,.078
.077,.074
.148,.068
.008,.009
.098,.038
.015,.016
.084,.094
.062,.067
.018,.017
.01,.014
.797,.294
.022,.004
.026,.004
.519,.179
.007,.01
.024,.004
.019,.01
.012,.007
.0916,.265
.0151,.0129
.000658,.00933
.0916,.265
.0359,.0109
.022,.012
.175,.0546
.0151,.0129
.000658,.00933
.0165,.0099
.006,.011
.0165,.0099
.01,.011
.175,.0546
.001,.006
.0359,.0109
.01,.005
.027,.009
.01,.007
.002,.001
.004,.003
.001,.004
1,.19182812
1,3.2786885
1,1.8621974
1,4.1666667
1,.6514658
1,1.4992504
1,.14218683
1,.14365752
1,.18964536
1,.31948882
1,.22563177
1,.37907506
1,1.2195122
1,.31989763
1,.3617945
